,Date,Volume,Open,High,Low,Adj Close
1439,2019-06-19,98626976.0,15.0073,15.1847,14.7373,15.0953
1438,2019-06-20,177951811.0,14.8667,15.1267,14.4233,14.6413
1437,2019-06-21,123031108.0,14.4147,14.812,14.3667,14.7907
1436,2019-06-24,86261522.0,14.8827,15.0573,14.7347,14.9093
1435,2019-06-25,92731019.0,14.9593,15.0227,14.6327,14.6507
1434,2019-06-26,127608056.0,14.6873,15.1487,14.54,14.618
1433,2019-06-27,95095602.0,14.63,14.86,14.49,14.856
1432,2019-06-28,102770709.0,14.7327,15.0113,14.72,14.8973
1431,2019-07-01,123569398.0,15.3473,15.54,15.0853,15.1447
1430,2019-07-02,138885336.0,15.2593,15.2767,14.8147,14.97
1429,2019-07-03,213017143.0,15.9593,16.1047,15.634,15.66
1428,2019-07-05,105986017.0,15.638,15.6967,15.3867,15.54
1427,2019-07-08,88208086.0,15.416,15.4833,15.244,15.356
1426,2019-07-09,92862479.0,15.2647,15.4,15.152,15.3373
1425,2019-07-10,137185971.0,15.61,15.9293,15.5427,15.928
1424,2019-07-11,112716394.0,15.876,16.1,15.72,15.9067
1423,2019-07-12,138007746.0,15.9833,16.3587,15.9807,16.3387
1422,2019-07-15,165001267.0,16.5333,16.9613,16.324,16.9
1421,2019-07-16,122234774.0,16.62,16.902,16.5288,16.8253
1420,2019-07-17,146470832.0,17.0447,17.2207,16.89,16.9907
1419,2019-07-18,71467209.0,17.0033,17.05,16.7923,16.9027
1418,2019-07-19,105726097.0,17.046,17.3307,16.9747,17.212
1417,2019-07-22,102694044.0,17.25,17.477,16.9461,17.0453
1416,2019-07-23,75346777.0,17.114,17.3653,16.9667,17.3447
1415,2019-07-24,166092517.0,17.278,17.738,17.2107,17.6587
1414,2019-07-25,336273582.0,15.5667,15.6333,15.0367,15.2547
1413,2019-07-26,150415425.0,15.128,15.3507,14.8167,15.2027
1412,2019-07-29,139099895.0,15.1393,15.7293,15.0688,15.718
1411,2019-07-30,121635149.0,15.5267,16.224,15.4787,16.1507
1410,2019-07-31,137673051.0,16.2,16.4453,15.7767,16.1073
1409,2019-08-01,123892678.0,16.1767,16.3007,15.4513,15.59
1408,2019-08-02,92047169.0,15.4233,15.7513,15.282,15.6227
1407,2019-08-05,105424132.0,15.3067,15.4245,15.0517,15.2213
1406,2019-08-06,83462958.0,15.4587,15.5,15.05,15.3833
1405,2019-08-07,71647464.0,15.1,15.5713,15.0533,15.5613
1404,2019-08-08,79115195.0,15.63,15.9867,15.51,15.8867
1403,2019-08-09,58473631.0,15.7369,15.9307,15.5873,15.6673
1402,2019-08-12,69959020.0,15.5327,15.718,15.25,15.2673
1401,2019-08-13,73034933.0,15.254,15.7333,15.17,15.6667
1400,2019-08-14,143438793.0,15.414,15.4333,14.446,14.6413
1399,2019-08-15,123479218.0,14.724,14.7707,14.1033,14.376
1398,2019-08-16,78110601.0,14.444,14.816,14.4013,14.6627
1397,2019-08-19,79676180.0,14.9473,15.1887,14.78,15.122
1396,2019-08-20,62557874.0,15.1747,15.2727,14.9693,15.0573
1395,2019-08-21,116996102.0,14.8007,14.8813,14.5067,14.722
1394,2019-08-22,98474411.0,14.8533,15.0267,14.548,14.81
1393,2019-08-23,128395496.0,14.6647,14.7447,14.0667,14.0933
1392,2019-08-26,75816172.0,14.24,14.3347,14.1027,14.3333
